"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"1399","Dead Hand Drive","Aug 21, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Steampunk Wizards","Steampunk Wizards"
"1400","Tales of Inca - Lost Land","Oct 3, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","magnussoft","magnussoft"
"1401","Orb Flo","Oct 5, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Parrott Studios","Parrott Studios"
"1402","沙漠飞车 Desert Racer","Sep 21, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shenzhen Blaz Information Technology Co., Ltd.","Shenzhen Blaz Information Technology Co., Ltd."
"1403","DungeonGOGO","Sep 24, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","David Sofer","David Sofer"
"1404","Xtrike","Aug 26, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","White Wood City","White Wood City"
"1405","VIRUS OF SURVIVORS:LIFE SIMULATOR","Sep 16, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Theodor Niklas","Theodor Niklas"
"1406","Haul Asteroid","Oct 12, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Real Maxwell","Real Maxwell LLC"
"1407","TRIPLE TWENTY - VR Darts","Oct 9, 2017","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ammonite Design Studios Ltd","Ammonite Design Studios Ltd"
"1408","Ninja Goemon and Immortal Jewels","Oct 20, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Azarashi no Yakata","Azarashi no Yakata"
"1409","KENDAMVR - Virtual Reality Kendama","Sep 25, 2017","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ammonite Design Studios Ltd","Ammonite Design Studios Ltd"
"1410","Shoot Loop VR","Sep 28, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ARLOOPA Inc.","ARLOOPA Inc."
"1411","Ninja in Training","Nov 2, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tall James Games","Tall James Games"
"1412","WAR Pig - Big Bang","Oct 27, 2017","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","magnussoft","magnussoft"
"1413","Conquest of Gerazania","Dec 15, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zarkan Entertainment","Zarkan Entertainment"
"1414","Brindilyl Legends: The Story of Landon","Oct 13, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Avekvist","Avekvist"
"1416","Strata Spaces VR","Oct 26, 2017","$59.95","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Strata Mixed Reality, Inc.","Strata Mixed Reality, Inc."
"1417","Halloween Knight","Oct 31, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chris Patton","Chris Patton"
"1418","Reprogram","Nov 9, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kompiler","Kompiler"
"1419","NO ONE","Nov 17, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GRADE6","GRADE6"
"1420","DlodloVRPlayer","Oct 30, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DLODLO","DLODLO"
"1421","TEEN DATE SIMULATOR","Nov 14, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Creativ Game Developer LLC","Creativ Game Developer LLC"
"1422","Pixel Killers - The Showdown","Sep 15, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Geezer Games","Geezer Games"
"1423","Dance Studio VR","Nov 7, 2017","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Air Viki, LLC","Air Viki, LLC"
"1424","Yerah","Oct 12, 2017","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DigitalWolfByte","DigitalWolfByte"
"1425","AMON","Nov 28, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lykke Studios","Lykke Studios"
"1427","Refinish Network - Paintboss VR","Nov 27, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Justin Jimmo","Justin Jimmo"
"1428","Tooth and Claw","Dec 18, 2017","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FIRE-POINT INTERACTIVE INC","MATCH-LIGHT INTERACTIVE INC"
"1429","The Plague","Nov 19, 2017","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nalu Zou","Nalu Zou"
"1430","Water Density","Dec 14, 2017","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Quail Island Software Limited","Quail Island Software Limited"
"1431","Light Strike Array","Dec 22, 2017","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Unwieldly Systems","Unwieldly Systems"
"1432","Apperception","Dec 27, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BrokenMemoryGames","BrokenMemoryGames"
"1433","Brutal Warrior","Jan 26, 2017","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nathan Entertainment","Nathan Entertainment"
"1434","Daydream Blue","Jan 25, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RalphVR","RalphVR"
"1435","Tier 1","Mar 16, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","100 Plus Games llc","100 Plus Games llc"
"1436","Bullet Dodge","Jun 15, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","QRA-CS","QRA-CS"
"1437","Caelum: Into the Sky","Jun 8, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Digital Realms Ltd","Digital Realms Ltd"
"1438","Derelict Fleet","Jul 11, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HCB Studios","HCB Studios"
"1439","HOCKEY SPACE","Jul 20, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","tjerb","tjerb"
"1440","Darts VR","Jul 10, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Awesome Game Studio","The Awesome Game Studio"
"1441","The Unclogging: An Unsanitary Saga","Jul 25, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DLHB Studios","DLHB Studios"
"1442","Solmec: Colony Adrift","Sep 5, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Octopus 8 Studios","Octopus 8 Studios"
"1443","The Music Room","Aug 17, 2017","$129.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chroma Coda","Chroma Coda"
"1444","The market trader","Sep 12, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AB SOFT","AB SOFT"
"1445","Bottle_Shooter","Sep 11, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shanghai ThinkingBear Network Technology Co.,Ltd","Shanghai ThinkingBear Network Technology Co.,Ltd"
"1446","Duel Survival","Oct 6, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tech Warrior-Dylan Dugan","Tech Warrior-Dylan Dugan"
"1447","Barrimean Jungle","Nov 6, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ONECOMPANY","ONECOMPANY"
"1448","AF-ZERO","Oct 31, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Recompile","Recompile"
"1449","Rain of Pumpkins","Oct 23, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gary & Eddy","EGCL"
"1450","Code Name: Origin","Dec 27, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Latent Studios","Latent Studios"
"1451","Drone Infiltrator","Dec 18, 2017","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","U24 Solutions","U24 Solutions"
"1452","Snake Charmer - TPS Snek","Dec 10, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Donkey Coder Ltd., Gabor Csomak","Gabor Csomak"
"1454","Free Towns","Mar 24, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vlad Cristian","Vlad Cristian"
"1455","RetroFighter VR","May 6, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jun Chul Park","RR GAMES PTE LTD"
"1456","Bleeding Kansas","Jul 23, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Histogram Games","Histogram Games"
"1457","Princess Sahirah is a Spoiled Brat!","Jul 22, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Corey Wurts","Corey Wurts"
"1459","CanBoom VR","Aug 22, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","eiNpictures","eiNpictures"
"1460","Dormant World","Sep 4, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","XENOpz","XENOpz"
"1461","Infinity Assassin (VR)","Aug 31, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MAMMOSSIX Co., Ltd.","MAMMOSSIX Co., Ltd."
"1462","Bubble Rush","Sep 30, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bernard Bell","Bernard Bell"
"1463","Virality","Oct 30, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nicola Mari","Pulsarnik Productions"
"1464","Chopper Battle New Horizon","Nov 25, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","magnussoft","magnussoft"
"1465","Nuke Babysitter Simulator | Kim Edition","Dec 10, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Invisible Man","Invisible Man"
"1466","Hazard Perception Test UK 2017/18 Bundle - Driving Test Success","Dec 15, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Imagitech","Focus Multimedia"
"1467","Captive of Fortune","Dec 19, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hosted Games","Hosted Games"
"1468","Paper Toss VR","Mar 10, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","zhangwenlu","zhangwenlu"
"1469","Basketball Court VR","Apr 4, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chun Y.","Chun Y."
"1470","Encounter of Galaxies","Apr 17, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Obi-Wanya","Obi-Wanya"
"1471","Tactics: Bludgeons Blessing","Jul 4, 2017","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Capt. McCay Soft","Capt. McCay Soft"
"1472","Hack Time","Jul 18, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","i273 LLC","i273 LLC"
"1473","Tetsoidea Eternal","Aug 7, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brewsterland Studios","Brewsterland Studios"
"1474","Pirate Jump 2","Aug 23, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","EnsenaSoft","EnsenaSoft"
"1475","The Legend of Slime","Oct 13, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","XiaoLongBao Games","XiaoLongBao Games"
"1476","Armed Warrior VR","Oct 31, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","antrorse","antrorse"
"1477","Cyber Arena","Oct 27, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Umbriel Studio","Umbriel Studio"
"1478","Street of Sanctuary VR","Jan 14, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MoyeVR","MoyeVR"
"1479","Hollow Halls","Jan 19, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Broken Code Games","Broken Code Games"
"1480","Block Robot Mini Survival Game","Jul 7, 2017","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Theodor Niklas","Theodor Niklas"
"1481","Virtual Robots - Robot programming simulator","Nov 1, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cold-Dark Software™","Cold-Dark Software™"
"1483","Tevris","Nov 23, 2017","$0.79","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vice Age","Vice Age"
"1484","Star Dust: The Book of Earth (VR)","May 12, 2017","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SKYLENS TECHNOLOGY","SKYLENS TECHNOLOGY"
"1485","Space Wrangler","Sep 29, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bad Panda Games","Bad Panda Games"
"1486","A New World: Kingdoms","Oct 5, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Red Phoenix Studios","Red Phoenix Studios"
"1487","Aviators","Jan 19, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eclipse Studios","501 Industries"
"1488","Dodge Master","Feb 22, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Downpour Studios","Downpour Studios"
"1489","Easy Spanish Platinum","Jan 18, 2017","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Individual Software","Individual Software"
"1490","Abyssal Zone","Jan 26, 2017","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Led","Led"
"1491","FormulaNext","Jan 27, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SparkLightGames","SparkLightGames"
"1494","Buccaneers, Bounty & Boom!","Mar 1, 2017","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Iron Helmet Games","Iron Helmet Games"
"1495","Dark Canvas: A Brush With Death Collector's Edition","Mar 21, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vast Studios","Big Fish Games"
"1496","Hello inc VR","Apr 10, 2017","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VRAD, Inc","VRAD, Inc"
"1497","COMET STRIKE","Apr 27, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PRIME WORKS Co.,Ltd.","PRIME WORKS Co.,Ltd."
"1498","ClockwiZZZe","May 1, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","game 'o clock studios","game 'o clock studios"
"1499","CubeBall VR","May 10, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tachyon Factory","Tachyon Factory"
"1500","VRun","Jun 1, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Phoenix3, Mr. L, Mr.T","Mr. L"
"1501","The Normal Day","Jun 8, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jonarene","Jonarene"
"1502","The Island of Eternal Struggle","Jun 6, 2017","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wimbus Studios","Wimbus Studios"
"1503","Isle in the Sky","Jun 12, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jan-Fredrik Braseth","Fome Productions"
"1504","DC Wonder: Unlimited","Jun 14, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nucleax","Nucleax"
"1505","Void Wisp","Jul 4, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","D. W. O'Boyle","D. W. O'Boyle"
"1506","火箭星战 Star-Rocket Strike","Jul 28, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ChuMoran","ChuMoran"
"1507","Holomeld","Sep 20, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","mindmeld.io Inc.","mindmeld.io Inc."
"1508","The Montana Chronicles: Montana's Croatoa","Jul 7, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Austin Boucher","Austin Boucher"
"1509","SQUARE BOX","Jul 17, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vox Mare","Vox Mare"
"1510","Persian: The Great Lamp Heist","Jul 1, 2017","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TSL","TSL"
"1511","Black Mist","Aug 4, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nyan_Fort","Nyan_Fort"
"1512","Slice&Dice","Aug 4, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VRotein","VRotein"
"1513","Brain Crush","Aug 18, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chano H. Hansen","Chano H. Hansen"
"1514","Little Earth","Aug 22, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RedRabbit Animation","Red Rabbit Company Limited"
"1515","Brimstone","Aug 8, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Asunder Studios","Asunder Studios"
"1516","Empty Handed","Oct 5, 2017","$2.5","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Stay Awake Games","Stay Awake Games"
"1517","BoidWatch","Sep 1, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Emmett Baber","LongShip LLC"
"1518","The Final Days: Eternal Night","Aug 29, 2017","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kipsaim(Mike) Delgado","Kipsaim(Mike) Delgado"
"1519","Never Not Shooting","Aug 21, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hand Cannon Games","Hand Cannon Games"
"1520","Cat's Lover","Aug 10, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Infinite Road Studio","Infinite Road Studio"
"1521","Asteroid Hunter","Oct 1, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SmileBag Productions","SmileBag Productions"
"1522","Mazeglaser","Sep 15, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Peter Fuleki","Peter Fuleki"
"1523","Legend of Egypt - Pharaohs Garden","Oct 6, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","magnussoft","magnussoft"
"1524","Booty Diver","Sep 20, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Xavier Orion Games","Xavier Orion Games"
"1525","Space Ship Commander","Sep 10, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Silver Dog Games","Silver Dog Games"
"1527","BadRobots VR","Sep 18, 2017","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BeBold","BeBold"
"1528","Lone Vessel","Nov 7, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cobalt Flow Studios","Cobalt Flow Studios"
"1529","Building Block Heroes","Oct 3, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Aggroblakh","Aggroblakh"
"1530","Twilight Phenomena: Strange Menagerie Collector's Edition","Oct 13, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AMAX Interactive","Big Fish Games"
"1531","Hikaru's Cube","Sep 15, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Studio Nightpager","Studio Nightpager"
"1532","n-body VR","Oct 11, 2017","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Idellio","Idellio"
"1533","Trooper 1","Oct 23, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Marco Noordergraaf","2ForallGames"
"1534","Hope is in 23","Oct 20, 2017","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","True Legacy Games","True Legacy Games"
"1535","Maze Trials","Oct 9, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","JB","JB"
"1536","Salvation in Corruption","Nov 7, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blak Iron Studios","Blak Iron Studios"
"1537","Demon Grade VR","Oct 27, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Richard Stenson, Solus Games","Solus Games, Inc."
"1538","Puzzle Bloc Invasion","Dec 15, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Colorful Games","Colorful Games"
"1539","Rockland VR","Dec 13, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VactoR","VactoR"
"1540","Echo Nine","Nov 7, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","EchoNineGames","Devil Dog Games"
"1541","Aequitas Orbis","Nov 2, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ludi Dorici","Ludi Dorici"
"1542","Puzzle Mania","Nov 20, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Norrland Interactive","Norrland Interactive"
"1543","The Mirage : Illusion of wish","Nov 15, 2017","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","APPLEMINT","APPLEMINT"
"1544","Terra Tanks: Defenders of the Earth","Dec 15, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Moss Piglet Games","Moss Piglet Games"
"1545","Re-bot VR","Dec 5, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gamesandapps","Gamesandapps"
"1546","Salt Thrust","Nov 3, 2017","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Collector_collector","Collector_collector"
"1547","One Against The Galaxy","Dec 1, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eridanus Studio","Eridanus Studio"
"1549","Dragon Orb","Dec 7, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WaVR","WaVR"
"1550","Robot's Mystery","Sep 26, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tomer Caner, Nitay Parnes","Indie"
"1551","抓雞遊戲 Catch Chicken Games","Dec 10, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","遊戲人","遊戲人"
"1552","Dark Canvas: Blood and Stone Collector's Edition","Oct 2, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vast Studios","Big Fish Games"
"1553","Square Massacre","Dec 13, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CyberVaca Entertainment","CyberVaca Entertainment"
"1554","SUSHIDO VS ZOMBIES","Dec 18, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AMG GAMES","AMG GAMES"
"1555","Battle Trendaria","Nov 9, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","megaeggz","megaeggz"
"1556","RibbonChase","Nov 14, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Captain","Captain"
"1557","Pilli Adventure","Dec 6, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tavo","Calaca studios"
"1558","CITY BALLS VR","Dec 20, 2017","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Thiele Media","Thiele Media"
"1559","Thug Life","Dec 20, 2017","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","U24 Solutions","U24 Solutions"
"1560","Little Smart Planet","Dec 26, 2017","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Little Smart Planet","Little Smart Planet"
"1561","Power Supplied","Dec 12, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","King's Lance Games","King's Lance Games"
"1562","Foundation of Nightmares","Dec 19, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hosted Games","Hosted Games"
"1563","Romans From Mars 360","Dec 21, 2017","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SideKick, Cavetap","Majesco Entertainment"
"1564","Haunted Train: Frozen in Time Collector's Edition","Dec 20, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Deep Shadows Games","Big Fish Games"
"1565","Jerry Frog's Retro Adventure","Dec 21, 2017","$2.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Purple Galaxy Games","Purple Galaxy Games"
"1566","Archipelago: Navigable VR Comic","Jan 6, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Walkie Entertainment","Walkie Entertainment"
"1567","Snakes - N - Ladders : Origins - Episode 1","Feb 15, 2017","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sagnithi Systems Technology Solutions LLP","Sagnithi Systems Technology Solutions LLP"
"1568","Deep End","Mar 31, 2017","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Red Line Reality","Red Line Reality"
"1569","Tower in the Sky : Tactics Edition","May 1, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Three Brothers Games","Three Brothers Games"
"1570","Easy German Platinum","Feb 14, 2017","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Individual Software","Individual Software"
"1571","Brawlerz Arena","May 27, 2017","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bail! Enemy Jet!","Bail! Enemy Jet!"
"1572","Disc League","May 17, 2017","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Virtually Invincible LLC","Virtually Invincible LLC"
"1573","Through The Dark: Prologue","May 7, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","6waves","6waves"
"1574","Run Jump Die Repeat","Jun 15, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LongArm Interactive","LongArm Interactive"
"1575","Mahjong Masters: Temple of the Ten Gods","Jun 19, 2017","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Playtinum","Big Fish Games"
"1576","Quantized","Dec 21, 2017","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chris Mahoney, Kenny Bier","Abstractron"
"1577","RectRacer","Jun 29, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tradosoft","Tradosoft"
"1578","Don't Die!","Oct 11, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Michael Cox","Templarius Studios"
"1579","The Western Hunter","Jul 8, 2017","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wisdom Emprie","Wisdom Emprie"
"1580","Break The Cookie","Jul 12, 2017","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Theodor Niklas","Theodor Niklas"
"1581","The Voice in the Void","Aug 1, 2017","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Griffin Snow","Griffin Snow"
"1582","Heaven And Earth","Dec 13, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Michael Hobbs","Michael Hobbs"
"1583","Topdown Showdown","Aug 30, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Team Ryzal","Team Ryzal"
"1584","Punch! Landscape Design for Mac v19","Jul 20, 2017","$49.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Punch! Software","Punch! Software"
"1585","The Climber","Sep 7, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Felipe Nicolazzi","Nib Games"
"1586","ShadowCalls 暗影召唤","Aug 1, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VAnight","VAnight"
"1587","Oneiric Masterpieces - Paris","Jul 31, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","François Bouille, Quentin de Cagny","Experience 360"
"1588","Fisher Fans VR","Jul 31, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Value","Value"
"1589","Run For Coins","Aug 3, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LST Games","LST Games"
